city,lat,lng,country,iso3
Bucimas,40.8917,20.6806,Albania,ALB
Patos,40.6833,19.6167,Albania,ALB
Kucove,40.8039,19.9144,Albania,ALB
Librazhd-Qender,41.1969,20.3356,Albania,ALB
Kruje,41.5,19.8,Albania,ALB
Burrel,41.6083,20.0111,Albania,ALB
Gramsh,40.8667,20.1833,Albania,ALB
Perondi,40.7833,19.9333,Albania,ALB
Libonik,40.75,20.7167,Albania,ALB
Belsh,40.9833,19.8833,Albania,ALB
Rreshen,41.7667,19.8833,Albania,ALB
Librazhd,41.1833,20.3167,Albania,ALB
Permet,40.2333,20.35,Albania,ALB
Bajram Curri,42.3581,20.0758,Albania,ALB
Tepelene,40.2967,20.0189,Albania,ALB
Erseke,40.3333,20.6833,Albania,ALB
Corovode,40.5,20.2167,Albania,ALB
Puke,42.05,19.9,Albania,ALB
Algiers,36.7539,3.0589,Algeria,DZA
Oran,35.6969,-0.6331,Algeria,DZA
Constantine,36.365,6.6147,Algeria,DZA
Blida,36.4722,2.8333,Algeria,DZA
Batna,35.55,6.1667,Algeria,DZA
Setif,36.19,5.41,Algeria,DZA
Djelfa,34.6667,3.25,Algeria,DZA
Annaba,36.9,7.7667,Algeria,DZA
Sidi Bel Abbes,35.2,-0.6333,Algeria,DZA
Biskra,34.85,5.7333,Algeria,DZA
Tebessa,35.4,8.1167,Algeria,DZA
Tiaret,35.3667,1.3167,Algeria,DZA
Bejaia,36.7511,5.0642,Algeria,DZA
Tlemcen,34.8828,-1.3167,Algeria,DZA
Bordj Bou Arreridj,36.0667,4.7667,Algeria,DZA
Skikda,36.8667,6.9,Algeria,DZA
Bechar,31.6333,-2.2,Algeria,DZA
El Eulma,36.1528,5.69,Algeria,DZA
Chlef,36.1647,1.3317,Algeria,DZA
Souk Ahras,36.2864,7.9511,Algeria,DZA
M'Sila,35.7058,4.5419,Algeria,DZA
Mostaganem,35.9333,0.0833,Algeria,DZA
Medea,36.2675,2.75,Algeria,DZA
Tizi Ouzou,36.7169,4.0497,Algeria,DZA
El Oued,33.3683,6.8675,Algeria,DZA
Laghouat,33.8,2.865,Algeria,DZA
Jijel,36.8206,5.7667,Algeria,DZA
Ouargla,31.95,5.3167,Algeria,DZA
Relizane,35.7372,0.5558,Algeria,DZA
Saida,34.8303,0.1517,Algeria,DZA
Guelma,36.4619,7.4258,Algeria,DZA
Ghardaia,32.4833,3.6667,Algeria,DZA
Ain Beida,35.7964,7.3928,Algeria,DZA
Khenchela,35.4167,7.1333,Algeria,DZA
Bou Saada,35.2083,4.1739,Algeria,DZA
Mascara,35.4,0.1333,Algeria,DZA
Messaad,34.1542,3.4969,Algeria,DZA
Ain Oussera,35.4489,2.9044,Algeria,DZA
Oum el Bouaghi,35.8706,7.115,Algeria,DZA
El Bayadh,33.6831,1.0192,Algeria,DZA
Dar el Beida,36.7142,3.2125,Algeria,DZA
Ain Temouchent,35.3044,-1.14,Algeria,DZA
Tamanrasset,22.785,5.5228,Algeria,DZA
Tissemsilt,35.6072,1.8106,Algeria,DZA
Bouira,36.38,3.9014,Algeria,DZA
Adrar,27.8742,-0.2939,Algeria,DZA
Boudouaou,36.73,3.41,Algeria,DZA
Tindouf,27.6753,-8.1286,Algeria,DZA
Boumerdes,36.7603,3.4724,Algeria,DZA
El Golea,30.6,2.9,Algeria,DZA
Touggourt,33.1,6.0667,Algeria,DZA
Timimoun,29.25,0.2333,Algeria,DZA
I-n-Salah,27.1936,2.4606,Algeria,DZA
El Tarf,36.7669,8.3136,Algeria,DZA
Tipasa,36.5942,2.443,Algeria,DZA
Illizi,26.508,8.4829,Algeria,DZA
Bordj Mokhtar,21.3289,0.9542,Algeria,DZA
Naama,33.2678,-0.3111,Algeria,DZA
Djanet,24.555,9.4853,Algeria,DZA
Beni Abbes,30.08,-2.1,Algeria,DZA
In Guezzam,19.5686,5.7722,Algeria,DZA
Ain Defla,36.2583,1.9583,Algeria,DZA
Mila,36.4481,6.2622,Algeria,DZA
Ouled Djellal,34.4167,5.0667,Algeria,DZA
El Meghaier,33.9506,5.9242,Algeria,DZA
Es Senia,35.6478,-0.6239,Algeria,DZA
Ain M'Lila,36.0367,6.5719,Algeria,DZA
Khemis Miliana,36.26,2.2,Algeria,DZA
El Milia,36.75,6.2667,Algeria,DZA
Chelghoum el Aid,36.1667,6.1667,Algeria,DZA
Khemis el Khechna,36.65,3.3306,Algeria,DZA
Bordj Menaiel,36.7417,3.7231,Algeria,DZA
Mecheria,33.55,-0.2833,Algeria,DZA
Ain Sefra,32.75,-0.5833,Algeria,DZA
Rouiba,36.7333,3.2833,Algeria,DZA
Tighenif,35.4167,0.333,Algeria,DZA
Lakhdaria,36.5622,3.5944,Algeria,DZA
Boufarik,36.575,2.9097,Algeria,DZA
Azzaba,36.7333,7.1,Algeria,DZA
Akbou,36.4667,4.5333,Algeria,DZA
Ain Azel,35.8433,5.5219,Algeria,DZA
Ouled Moussa,36.6831,3.3681,Algeria,DZA
Hassi Messaoud,31.7,6.0667,Algeria,DZA
Ain Arnat,36.1833,5.3167,Algeria,DZA
Draa el Mizan,36.5333,3.8333,Algeria,DZA
Souma,36.5183,2.9053,Algeria,DZA
Bougara,36.5333,3.0833,Algeria,DZA
Azazga,36.7453,4.3711,Algeria,DZA
Didouche Mourad,36.4484,6.6339,Algeria,DZA
Dellys,36.9133,3.9141,Algeria,DZA
Draa Ben Khedda,36.7349,3.9556,Algeria,DZA
Boghni,36.5437,3.9523,Algeria,DZA
Ain Abid,36.2325,6.944,Algeria,DZA
Tizi Gheniff,36.5891,3.7678,Algeria,DZA
El Kseur,36.6844,4.8522,Algeria,DZA
L'Arbaa Nait Irathen,36.6367,4.2067,Algeria,DZA
N'Gaous,35.555,5.6106,Algeria,DZA
Timizart,36.8,4.2667,Algeria,DZA
Babar,35.1692,7.1013,Algeria,DZA
Freha,36.762,4.3163,Algeria,DZA
Mekla,36.6876,4.2681,Algeria,DZA
Tadjmout,33.8667,2.5167,Algeria,DZA
Beni Amrane,36.6686,3.5922,Algeria,DZA
Makouda,36.7909,4.0669,Algeria,DZA
Tadmait,36.7427,3.9019,Algeria,DZA
Amoucha,36.388,5.4108,Algeria,DZA
Naciria,36.75,3.8333,Algeria,DZA
Kadiria,36.5333,3.6833,Algeria,DZA
Djinet,36.877,3.7231,Algeria,DZA
Beni Douala,36.6167,4.0667,Algeria,DZA
Thenia,36.7278,3.5539,Algeria,DZA
Tizi-n-Bechar,36.4311,5.36,Algeria,DZA
Ain el Hammam,36.5714,4.3097,Algeria,DZA
Aomar,36.5,3.7833,Algeria,DZA
Tala Yfassene,36.4583,5.0889,Algeria,DZA
Reggane,26.7,0.1667,Algeria,DZA
Arbaoun,36.4667,5.65,Algeria,DZA
Tirmitine,36.6618,3.9848,Algeria,DZA
Timoktene,27.0217,1.015,Algeria,DZA
Bettioua,35.8,-0.2667,Algeria,DZA
Beni Fouda,36.2861,5.6071,Algeria,DZA
Tizi Rached,36.6718,4.1918,Algeria,DZA
Ain Zaouia,36.5483,3.8942,Algeria,DZA
Sidi Daoud,36.85,3.85,Algeria,DZA
Azeffoun,36.8961,4.4204,Algeria,DZA
Tichi,36.6675,5.1601,Algeria,DZA
Ain Abessa,36.3,5.295,Algeria,DZA
Chorfa,36.3617,4.3307,Algeria,DZA
Ouadhia,36.55,4.0833,Algeria,DZA
Boudjima,36.814,4.1588,Algeria,DZA
Tizi-n-Tleta,36.5457,4.0571,Algeria,DZA
Ait Yaich,36.5811,4.3303,Algeria,DZA
Ouled Sidi Brahim,36.3667,3.7167,Algeria,DZA
Iflissen,36.8636,4.2203,Algeria,DZA
Abadla,31.0167,-2.7333,Algeria,DZA
Takerbouzt,36.418,4.3428,Algeria,DZA
Moudjbara,34.5037,3.4704,Algeria,DZA
Afir,36.7676,3.7029,Algeria,DZA
Mechtras,36.5448,4.0049,Algeria,DZA
Sali,26.9833,-0.0333,Algeria,DZA
El Marsa,36.8111,3.2556,Algeria,DZA
Arhribs,36.8022,4.3227,Algeria,DZA
Si Mustapha,36.7247,3.6153,Algeria,DZA
Iferhounene,36.5338,4.3701,Algeria,DZA
El Adjiba,36.3333,4.15,Algeria,DZA
Yakouren,36.7348,4.4386,Algeria,DZA
Tigzirt,36.8931,4.1225,Algeria,DZA
Bechloul,36.3167,4.0667,Algeria,DZA
El Ancor,35.6833,-0.8667,Algeria,DZA
Ain Roua,36.3344,5.1806,Algeria,DZA
Charouine,29.0167,-0.2667,Algeria,DZA
Bir Ghbalou,36.2642,3.5836,Algeria,DZA
Sidi Namane,36.7581,3.9839,Algeria,DZA
Sidi Brahim,35.2606,-0.5675,Algeria,DZA
Ben N'Choud,36.8624,3.8806,Algeria,DZA
Bordj Okhriss,36.0833,3.9667,Algeria,DZA
Ben Nasseur,33.1107,6.441,Algeria,DZA
Souama,36.6417,4.3416,Algeria,DZA
Bou Nouh,36.5,3.9333,Algeria,DZA
Toudja,36.7586,4.8933,Algeria,DZA
Ifigha,36.6667,4.4167,Algeria,DZA
Ouled Rached,36.2119,4.1106,Algeria,DZA
Seddouk Oufella,36.6061,4.6389,Algeria,DZA
I-n-Amenas,28.05,9.55,Algeria,DZA
Abalessa,22.89,4.8472,Algeria,DZA
Boukhralfa,36.6144,5.0872,Algeria,DZA
Tifra,36.6664,4.6972,Algeria,DZA
Amalou,36.4778,4.6333,Algeria,DZA
Beni Ounif,32.05,-1.25,Algeria,DZA
I-n-Amguel,23.6936,5.1647,Algeria,DZA
Pago Pago,-14.274,-170.7046,American Samoa,ASM
Andorra la Vella,42.5,1.5,Andorra,AND
Escaldes-Engordany,42.5089,1.5408,Andorra,AND
Encamp,42.5361,1.5828,Andorra,AND
La Massana,42.5444,1.5144,Andorra,AND
Sant Julia de Loria,42.465,1.4911,Andorra,AND
Ordino,42.555,1.5331,Andorra,AND
Canillo,42.5667,1.6,Andorra,AND
Luanda,-8.8383,13.2344,Angola,AGO
Cacuaco,-8.8053,13.2444,Angola,AGO
Lubango,-14.9167,13.5,Angola,AGO
Cabinda,-5.56,12.19,Angola,AGO
Huambo,-12.7767,15.7347,Angola,AGO
Malanje,-9.5333,16.35,Angola,AGO
Benguela,-12.55,13.4167,Angola,AGO
Belas,-8.9983,13.265,Angola,AGO
Talatona,-8.9167,13.1833,Angola,AGO
Lobito,-12.3597,13.5308,Angola,AGO
Saurimo,-9.65,20.4,Angola,AGO
Cubal,-13.1117,14.3672,Angola,AGO
Luena,-11.7918,19.9062,Angola,AGO
Cuito,-12.3833,16.9333,Angola,AGO
Uige,-7.6167,15.05,Angola,AGO
Menongue,-14.6556,17.6842,Angola,AGO
Vila Teixeira da Silva,-12.0072,15.7792,Angola,AGO
Sumbe,-11.2053,13.8417,Angola,AGO
Gabela,-10.85,14.3667,Angola,AGO
Ndulo,-11.4833,15.8333,Angola,AGO
Mocamedes,-15.1953,12.1508,Angola,AGO
Ganda,-13.0858,14.7417,Angola,AGO
Barra do Dande,-8.4728,13.3731,Angola,AGO
Soio,-6.1333,12.3667,Angola,AGO
Tchitato,-7.345,20.8198,Angola,AGO
Chibia,-15.1833,13.7,Angola,AGO
Ucu Seles,-11.4047,14.3006,Angola,AGO
Cuango,-9.1444,18.0464,Angola,AGO
Dundo,-7.3801,20.8351,Angola,AGO
Catumbela,-12.4167,13.5333,Angola,AGO
Cazanga,-9.3,14.95,Angola,AGO
Caluquembe,-13.9208,14.5347,Angola,AGO
Catape,-13.7667,15.0833,Angola,AGO
Ebo,-11,14.6667,Angola,AGO
Bocoio,-12.4667,14.1333,Angola,AGO
Quibala,-10.7333,14.9833,Angola,AGO
Ndalatando,-9.3,14.9167,Angola,AGO
Quipungo,-14.8167,14.5167,Angola,AGO
Lucapa,-8.4228,20.7393,Angola,AGO
Mbanza Kongo,-6.2667,14.25,Angola,AGO
Maquela do Zombo,-6.05,15.1167,Angola,AGO
Namacunde,-17.3,15.85,Angola,AGO
Negage,-7.7667,15.2667,Angola,AGO
Porto Amboim,-10.7183,13.75,Angola,AGO
Quimbele,-6.5167,16.2167,Angola,AGO
Londuimbali,-12.2186,15.285,Angola,AGO
Chicomba,-14.1333,14.9167,Angola,AGO
Chinguar,-12.55,16.3333,Angola,AGO
Catabola,-12.1167,17.3,Angola,AGO
Ondjiva,-17.0667,15.7333,Angola,AGO
Catchiungo,-12.7864,16.3233,Angola,AGO
Cassongue,-11.8333,15,Angola,AGO
Quilengues,-14.0814,14.0764,Angola,AGO
Mungo,-11.6667,16.1667,Angola,AGO
Balombo,-12.35,14.7667,Angola,AGO
Baia Farta,-12.6128,13.1987,Angola,AGO
Ndjamba,-14.7,16.0667,Angola,AGO
Caxito,-8.58,13.6642,Angola,AGO
Quilenda,-10.6333,14.3333,Angola,AGO
Caimbambo,-12.9,14.0833,Angola,AGO
Cambambe,-9.7586,14.5122,Angola,AGO
Uacu Cungo,-11.3583,15.1194,Angola,AGO
Luau,-10.7044,22.2283,Angola,AGO
Conda,-11.1667,14.5,Angola,AGO
Humpata,-15.0725,13.3678,Angola,AGO
Chongoroi,-13.5667,13.95,Angola,AGO
Longonjo,-12.9067,15.1864,Angola,AGO
Calandala,-9.0667,17.9,Angola,AGO
Capenda Camulemba,-9.5647,18.7633,Angola,AGO
Kuvango,-14.4667,16.3,Angola,AGO
Chitembo,-13.5167,16.7667,Angola,AGO
Cunhinga,-12.2333,16.7833,Angola,AGO
Dondo,-9.6942,14.4228,Angola,AGO
Xangongo,-16.7467,14.9747,Angola,AGO
Cahama,-16.2833,14.3167,Angola,AGO
Sanza Pombo,-7.3333,16,Angola,AGO
Chipindo,-13.8244,15.8,Angola,AGO
Camabatela,-8.1833,15.3667,Angola,AGO
Sungo,-11.2333,14.3167,Angola,AGO
Nambuangongo,-8.0167,14.2,Angola,AGO
Calulo,-10.0007,14.901,Angola,AGO
Camacupa,-12.0256,17.4686,Angola,AGO
Cuvelai,-15.6667,15.8,Angola,AGO
Nova Esperanca,-6.7333,15.9,Angola,AGO
Cuemba,-12.15,18.0833,Angola,AGO
PortoAlexandre,-15.8,11.85,Angola,AGO
Ucuma,-12.85,15.0667,Angola,AGO
Luquembo,-10.7333,17.8833,Angola,AGO
Cangola,-7.9667,15.8667,Angola,AGO
Cambundi Catembo,-10.0756,17.5569,Angola,AGO
Cangandala,-9.7833,16.4333,Angola,AGO
Mucaba,-7.1667,14.9333,Angola,AGO
Cuchi,-14.65,16.9,Angola,AGO
Cuito Cuanavale,-15.1667,19.1667,Angola,AGO
Cacuso,-8.2333,15.35,Angola,AGO
Puri,-7.6833,15.6,Angola,AGO
Quilevo,-7.6167,15.05,Angola,AGO
Golungo Alto,-9.1333,14.7667,Angola,AGO
Muconda,-10.6,21.3167,Angola,AGO
Massango,-11.3167,14.9333,Angola,AGO
Bembe,-7.1,14.45,Angola,AGO
Buco Zau,-4.795,12.5467,Angola,AGO
Virei,-15.7167,12.95,Angola,AGO
Cacolo,-10.1333,19.2667,Angola,AGO
Tchindjendje,-12.8167,14.9333,Angola,AGO
Mucari,-9.4667,16.9167,Angola,AGO
Dala,-11.0342,20.2036,Angola,AGO
Marimba,-8.3667,17.0167,Angola,AGO
Ambriz,-7.85,13.1167,Angola,AGO
Lucala,-9.6333,14.0667,Angola,AGO
Samba Cango,-9.1,15.55,Angola,AGO
Caombo,-8.7,16.5167,Angola,AGO
Quirima,-10.9,18.0833,Angola,AGO
Alto-Cuilo,-8.2371,19.5238,Angola,AGO
Cacongo,-5.2333,12.1333,Angola,AGO
Quela,-9.3833,17.05,Angola,AGO
Luacano,-11.2167,21.65,Angola,AGO
Lubalo,-9.15,19.2833,Angola,AGO
Quibaxi,-8.5,14.5833,Angola,AGO
Ambiula,-7.4333,14.65,Angola,AGO
Bolongongo,-8.4667,15.25,Angola,AGO
Cunda dia Baze,-8.9167,17.0667,Angola,AGO
Nzeto,-7.229,12.865,Angola,AGO
Songo,-7.3496,14.85,Angola,AGO
Banga,-8.7333,15.1667,Angola,AGO
Quiculungo,-8.5167,15.3167,Angola,AGO
Chibemba,-15.7355,13.8905,Angola,AGO
Cazombo,-11.9058,22.9217,Angola,AGO
Bala Cangamba,-13.6833,19.8667,Angola,AGO
Calenga,-11.3196,16.2,Angola,AGO
Tchitado,-17.3167,13.9167,Angola,AGO
The Valley,18.2167,-63.05,Anguilla,AIA
Saint John's,17.1167,-61.85,Antigua and Barbuda,ATG
Buenos Aires,-34.5997,-58.3819,Argentina,ARG
Cordoba,-31.4167,-64.1833,Argentina,ARG
Rosario,-32.9575,-60.6394,Argentina,ARG
Santiago del Estero,-27.7833,-64.2667,Argentina,ARG
Comodoro Rivadavia,-45.8647,-67.4808,Argentina,ARG
Mar del Plata,-38,-57.55,Argentina,ARG
San Miguel de Tucuman,-26.8167,-65.2167,Argentina,ARG
Salta,-24.7833,-65.4167,Argentina,ARG
San Juan,-31.5342,-68.5261,Argentina,ARG
Lanus,-34.7,-58.4,Argentina,ARG
Florencio Varela,-34.8167,-58.2833,Argentina,ARG
Santa Fe,-31.6333,-60.7,Argentina,ARG
Corrientes,-27.4833,-58.8167,Argentina,ARG
San Salvador de Jujuy,-24.1833,-65.3,Argentina,ARG
Bahia Blanca,-38.7167,-62.2667,Argentina,ARG
Resistencia,-27.4514,-58.9867,Argentina,ARG
Posadas,-27.3667,-55.9,Argentina,ARG
Quilmes,-34.7167,-58.2667,Argentina,ARG
Parana,-31.7331,-60.5297,Argentina,ARG
Merlo,-34.6653,-58.7275,Argentina,ARG
Gonzalez Catan,-34.7667,-58.6167,Argentina,ARG
Formosa,-26.1833,-58.1833,Argentina,ARG
Banfield,-34.75,-58.3833,Argentina,ARG
Neuquen,-38.9525,-68.0642,Argentina,ARG
Jose C. Paz,-34.5167,-58.7667,Argentina,ARG
Isidro Casanova,-34.7,-58.5833,Argentina,ARG
La Plata,-34.9211,-57.9544,Argentina,ARG
Godoy Cruz,-32.9167,-68.8333,Argentina,ARG
Las Heras,-32.85,-68.8167,Argentina,ARG
Berazategui,-34.7167,-58.25,Argentina,ARG
La Rioja,-29.4125,-66.8542,Argentina,ARG
San Luis,-33.3,-66.3333,Argentina,ARG
San Miguel,-34.5333,-58.7167,Argentina,ARG
Jose Maria Ezeiza,-34.8333,-58.5167,Argentina,ARG
General Roca,-39.0333,-67.5833,Argentina,ARG
San Nicolas de los Arroyos,-33.3333,-60.2167,Argentina,ARG
Catamarca,-28.4667,-65.7833,Argentina,ARG
Rafael Castillo,-34.7167,-58.6167,Argentina,ARG
Rio Cuarto,-33.1333,-64.35,Argentina,ARG
Florencio Varela,-34.8167,-58.3833,Argentina,ARG
Concordia,-31.4,-58.0333,Argentina,ARG
San Justo,-34.6833,-58.55,Argentina,ARG
Ituzaingo,-34.6667,-58.6667,Argentina,ARG
Temperley,-34.7667,-58.3833,Argentina,ARG
Ramos Mejia,-34.65,-58.5667,Argentina,ARG
Lomas de Zamora,-34.7667,-58.4,Argentina,ARG
San Rafael,-34.6,-68.3333,Argentina,ARG
San Martin,-33.0806,-68.4706,Argentina,ARG
Mendoza,-32.8833,-68.8167,Argentina,ARG
Tandil,-37.3167,-59.1333,Argentina,ARG
Puerto Madryn,-42.7667,-65.05,Argentina,ARG
Bernal,-34.7,-58.2833,Argentina,ARG
Esteban Echeverria,-34.8167,-58.4667,Argentina,ARG
Castelar,-34.6667,-58.6667,Argentina,ARG
San Carlos de Bariloche,-41.15,-71.3,Argentina,ARG
Villa Mercedes,-33.6667,-65.4667,Argentina,ARG
Gualeguaychu,-33.0167,-58.5167,Argentina,ARG
Villa Krause,-31.5833,-68.5333,Argentina,ARG
Lujan,-34.5667,-59.1,Argentina,ARG
Moron,-34.65,-58.6167,Argentina,ARG
Maipu,-32.9667,-68.75,Argentina,ARG
La Banda,-27.7333,-64.25,Argentina,ARG
Villa Luzuriaga,-34.6667,-58.5833,Argentina,ARG
Caseros,-34.6106,-58.5625,Argentina,ARG
Libertad,-34.6833,-58.6833,Argentina,ARG
Santa Rosa,-36.6167,-64.2833,Argentina,ARG
Burzaco,-34.8167,-58.3667,Argentina,ARG
Ciudad General Belgrano,-34.7167,-58.5333,Argentina,ARG
San Francisco Solano,-34.7667,-58.3167,Argentina,ARG
Rio Gallegos,-51.6233,-69.2161,Argentina,ARG
Monte Chingolo,-34.7333,-58.35,Argentina,ARG
Grand Bourg,-34.4833,-58.7167,Argentina,ARG
Remedios de Escalada,-34.7167,-58.4,Argentina,ARG
Ezpeleta,-34.7517,-58.2344,Argentina,ARG
Villa Celina,-34.7006,-58.4825,Argentina,ARG
El Palomar,-34.6167,-58.5833,Argentina,ARG
Lomas del Mirador,-34.6667,-58.5297,Argentina,ARG
Ciudadela,-34.6333,-58.5333,Argentina,ARG
Viedma,-40.8,-63,Argentina,ARG
Bella Vista,-34.5333,-58.6667,Argentina,ARG
Gerli,-34.6833,-58.3667,Argentina,ARG
Wilde,-34.7,-58.3167,Argentina,ARG
Martinez,-34.4833,-58.5,Argentina,ARG
Villa Dominico,-34.6917,-58.3333,Argentina,ARG
Banda del Rio Sali,-26.85,-65.1667,Argentina,ARG
Los Polvorines,-34.5,-58.7,Argentina,ARG
Hurlingham,-34.5883,-58.6392,Argentina,ARG
Beccar,-34.4667,-58.5167,Argentina,ARG
Glew,-34.8833,-58.3833,Argentina,ARG
Rafael Calzada,-34.7833,-58.3667,Argentina,ARG
Mariano Acosta,-34.7167,-58.7833,Argentina,ARG
Ushuaia,-54.8019,-68.3031,Argentina,ARG
Florida,-34.5167,-58.5,Argentina,ARG
Longchamps,-34.85,-58.3833,Argentina,ARG
Villa Alsina,-34.6667,-58.4167,Argentina,ARG
San Isidro,-34.4667,-58.5167,Argentina,ARG
Jose Marmol,-34.7833,-58.3667,Argentina,ARG
Llavallol,-34.7667,-58.3833,Argentina,ARG
Dock Sur,-34.6417,-58.3478,Argentina,ARG
Claypole,-34.8,-58.3333,Argentina,ARG
Ingeniero Pablo Nogues,-34.4667,-58.7667,Argentina,ARG
Haedo,-34.65,-58.6,Argentina,ARG
Munro,-34.5333,-58.5167,Argentina,ARG
Villa Adelina,-34.5175,-58.5475,Argentina,ARG
Adrogue,-34.8,-58.3833,Argentina,ARG
Avellaneda,-34.6625,-58.3678,Argentina,ARG
Vicente Lopez,-34.5333,-58.475,Argentina,ARG
Muniz,-34.5333,-58.7,Argentina,ARG
Tapiales,-34.7058,-58.5047,Argentina,ARG
Don Bosco,-34.7,-58.2833,Argentina,ARG
Martin Coronado,-34.6,-58.55,Argentina,ARG
Billinghurst,-34.5667,-58.5333,Argentina,ARG
Rawson,-43.3,-65.1,Argentina,ARG
Villa Sarmiento,-34.6333,-58.5667,Argentina,ARG
La Lucila,-34.4833,-58.4833,Argentina,ARG
Aldo Bonzi,-34.7083,-58.5181,Argentina,ARG
Acasusso,-34.4667,-58.5167,Argentina,ARG
Malvinas Argentinas,-31.3697,-64.0531,Argentina,ARG
Zarate,-34.0833,-59.0333,Argentina,ARG
Trelew,-43.25,-65.3,Argentina,ARG
Rafaela,-31.2667,-61.4833,Argentina,ARG
